"Pour plus d'informations sur le contenu de ce fichier et notamment pour interpréter les codes remarques associés aux analyses, veuillez vous reporter au fichier de métadonnées.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Code BSS";"Nom Station";"Code paramètre";"Paramètre";"Unité";"AN";"ECART_TYPE";"NB";"MEDIANE";"PERCENTILE_10";"PERCENTILE_90";"MINI";"MAXI";"MOYENNE";"Code remarque";"NBNONQUANT";"CODE_FRACTANALY"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1032";"PCB totaux";"µg/L";"2012";"0";"4";",005";",005";",005";",005";",005";",005";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1032";"PCB totaux";"µg/L";"2013";"0";"4";",005";",005";",005";",005";",005";",005";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1032";"PCB totaux";"µg/L";"2014";"0";"4";",005";",005";",005";",005";",005";",005";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1032";"PCB totaux";"µg/L";"2015";"0";"3";",001";",001";",001";",001";",001";",001";"10";"3";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1032";"PCB totaux";"µg/L";"2016";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1082";"Benzo(a)anthracène";"µg/L";"2012";"0";"2";",003";",003";",003";",003";",003";",003";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1082";"Benzo(a)anthracène";"µg/L";"2018";"0";"2";",001";",001";",001";",001";",001";",001";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1082";"Benzo(a)anthracène";"µg/L";"2019";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1083";"Chlorpyriphos-éthyl";"µg/L";"2012";"0";"4";",01";",01";",01";",01";",01";",01";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1083";"Chlorpyriphos-éthyl";"µg/L";"2013";"0";"4";",01";",01";",01";",01";",01";",01";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1083";"Chlorpyriphos-éthyl";"µg/L";"2014";"0";"4";",01";",01";",01";",01";",01";",01";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1083";"Chlorpyriphos-éthyl";"µg/L";"2015";"0";"2";",01";",01";",01";",01";",01";",01";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1083";"Chlorpyriphos-éthyl";"µg/L";"2016";"0";"4";",01";",01";",01";",01";",01";",01";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1083";"Chlorpyriphos-éthyl";"µg/L";"2017";"0";"4";",01";",01";",01";",01";",01";",01";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1083";"Chlorpyriphos-éthyl";"µg/L";"2018";"0";"2";",005";",005";",005";",005";",005";",005";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1083";"Chlorpyriphos-éthyl";"µg/L";"2019";"0";"4";",005";",005";",005";",005";",005";",005";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1084";"Cyanures libres";"µg(CN)/L";"2012";"0";"2";",19";",19";",19";",19";",19";",19";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1089";"PCB126";"µg/L";"2012";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1089";"PCB126";"µg/L";"2013";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1089";"PCB126";"µg/L";"2014";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
